TID (unique),KEYWORD(unique),TAG(Separate with comma),CATEGORY, PID(Separate with comma if more than one),QUESTION,ANSWER,Documentation link ,YouTube solution link,RSID
GVR81,Before Power On,power supply,power,VENR860,procedures to be done before powering on the system ?,"1. Connect the Inspiratory Safety Guard (ISG) to the
inspiratory port.
2. Connect the Exhalation Valve Assembly (EVA) to the exhalation port.
3. Familiarize yourself with the hard keys on the display.
a. 2-minute audio pause
b. Increase O2
c. Snapshot
d. Lock/Unlock
e. Home
f. Trim Knob
4. Attach the breathing circuit and all accessories that will be used to ventilate the patient.
",https://drive.google.com/file/d/1Gub9cUvd1MbbtEV6c5c1B4PTVqf510ed/view?usp=sharing,,
GVR82,Power on,Turn on,power,VENR860,How to turn on the system ?,"1. Connect the air and oxygen supply hoses to the gas
supply source.
2. Plug power cord into an approved electrical outlet.
3. Press the power switch to turn on the ventilator.
",https://drive.google.com/file/d/1vhVgeBiqC-KXBhWBB-tWE4tHDtspOb1r/view?usp=sharing,,
GVR83,Patient setup,patient care,interface,VENR860,How to setup the system for new patient ?,"1. Select NEW PATIENT.
2. Select Adult, Pediatric or Neonatal patient type.
.3. Select Patient ID (Identification), if necessary, and enter 10 characters and select Confirm.
4. Select Gender (male or female).
5. Select Height.
6. Select Weight.
7. Select Tube Type (Endotrach, Trach, or ---.
8. Select Tube Diameter.
9. Verify and confirm settings by pressing Confirm.",https://drive.google.com/file/d/1aCSe_Rg8cx_0lJegShdeOev22xT3YM5z/view?usp=sharing,,
GVR84,System Check,"system check,system troubleshoot,circuit check up",Interface,VENR860,How to perform system check ?,,,,
GVR85,RUNNING_A_SYSTEM_CHECK,"Run, troubleshooting",Interface,VENR860,How to check the system in running,"1. From Standy, select system check.
2. Attach the breathing circuit and all accessories that will be used to ventilate the patient.
3. Occlude the patient wye using the occlusion port.
4. Select start
5. Select the information icon to see the system check details menu",https://drive.google.com/file/d/10lDZamRT-fhPTgs4zdNGXqwMxfH_ChTu/view?usp=drivesdk,,
GVR86,SETTING_A_VENTILATION_MODE,"setup, setting, ventilation",Interface,VENR860,How to setting the ventilation mode,"1. Select current mode. 
2. Select the desired ventilation mode. 
3. Select Assist Control, Leak Comp or Trigger Comp, if desired.
4. Set the desired settings for the Ventilation mode and Confirm.",https://drive.google.com/file/d/10n2XhqFRIIcx9Cf18ncoRuz1zEP59ZKr/view?usp=drivesdk,,
GVR87,PATIENT_VENTILATION,"Ventilation, start",Interface,VENR860,How to start the patient ventilation,"1. From Standby, select Start Ventilation. 
2. After ventilation has started, connect the breathing circuit to the patient",https://drive.google.com/file/d/10p0H_eUxR5Gu36jUv9hHHfNRcUyY9X-m/view?usp=drivesdk,,
GVR88,ALARM_PANEL,"Alarm, indicator, panel",Indicator,VENR860,How to use the Alarm panel,"1. Audio pause. 
2. Alarm Status. 
3. Alarm setup. 
4. Audio Pause Timer. 
5. Active Alarm count",https://drive.google.com/file/d/10r-ICQLMuIZTAkhXB9vk7nQ3H25qTCGh/view?usp=drivesdk,,
GVR89,ALARM_SETUP,"Setup, Alarm, settings",Indicator,VENR860,How to set the Alarm,"1. Apnea Time: Set apnea time up to 60 seconds.
2. Alarm Light Brightness: Set the brightness level 
 of the alarm light. The range is 1 (Low) to 5 (High).
3. Alarm Volume: Set the alarm volume of the alarm 
 tone. The range is 1 (Low) to 5 (High).
4. High Alert Audio: Set the delay time in which a 
 high-priority alarm must be resolved before the audio 
 tone pitch and volume increases to the maximum level.
 The range is 0 to 30 seconds or Off. A general message 
 shows when High Alert Audio is set to Off.
5. Alarm Limits: Select the check box to show alarm 
 limits adjacent to the measured data in the patient 
 data workspace. The alarm limit always shows when 
 an alarm occurs for the measured data, even if it is 
 set to Off.
6. Auto Limits: Select to set auto alarm limits based on 
 current measured data for:
a. MVexp-Low and High
b. VTexp-Low and High
c. Rate-Low and High
d. EtCO2-Low and High
e. PEEPe-Low and High",https://drive.google.com/file/d/10um-GV2sIbFX0vncHXUwqLv-E65nl8JS/view?usp=drivesdk,,
GLOGIQ91,POWERING_THE_SYSTEM,"power supply,power,system",power,LOGIQ9,Procedures to be done before powering on the system ?,"1. Ensure that the wall outlet is of the appropriate type.
2. Ensure that the power switch is turned off.
3. Unwrap the power cable. Make sure to allow sufficient slack 
in the cable so that the plug is not pulled out of the wall if the 
system is moved slightly.
4. Attach the power plug to the system and secure it in place 
by using the retaining clamp ",,,
GLOGIQ92,PASSWORD_PROTECTION,"Password,Protection",Power,LOGIQ9,How to set Password to the system?,"1. Operator: Select the Operator.
2. Password: Enter Operator’s password (optional).
3. Select type of Logon or Cancel.
• Emergency: Data stored only for the duration of the 
current examination.
• OK: Standard logon
• Cancel: Cancel logon
If the correct ID and Password are entered, the system displays 
the Patient screen.
Logoff To logoff, press the Power On/Off switch momentarily and a 
SYSTEM-EXIT window appears.",https://drive.google.com/file/d/1CQUDHicV0E1Mq1qrgxu8ViTqoDxibjWA/view?usp=sharing,,
GLOGIQ93,STANDBY_MODE,"Power,Time",Power,LOGIQ9,How to Standby Mode?,"1. Press the Power On/Off switch at the front of the system 
once.
2. The System-Exit window displays.
3. Using the Trackball, select Standby.
It takes approximately 20 seconds to go into Standby Mode.
4. Transport the system as needed and plug it back in.
See ‘Moving the System’ for more information.
5. Press and immediately release the Power On/Off switch to 
come out of Standby Mode. This takes about 45 seconds.",,,
GLOGIQ94,POWER_OFF,Power,Power,LOGIQ9,How to turn off the System,"1. Press the Power On/Off switch at the front of the system 
once.
2. The System-Exit window is displayed.
3. Using the Trackball, select Shutdown.
The shutdown process takes a few seconds and is 
completed when the Power On/Off switch illumination is 
turned amber.
4. Disconnect the probes.
Clean or disinfect all probes as necessary. Store them in 
their shipping cases to avoid damage.",https://drive.google.com/file/d/1FsMYoALX9AQ_moC52ROvCTR71Xc5aaJl/view?usp=sharing,,
GLOGIQ95,CIRCUIT_BREAKER,Power,Power,LOGIQ9,How to manage Power overloads?,"If a power overload occurs:
1. Turn off all peripheral devices.
2. Reactivate the Circuit Breaker switch.
The Circuit Breaker switch should stay in the On position; DO
NOT hold the switch in the On position. If the Circuit Breaker 
switch remains On, follow the Power On procedure previously 
described.
NOTE: If the Circuit Breaker switch does not remain in the On position 
or trips again:
1. Disconnect the Power Cable.
2. Call Service immediately.
DO NOT attempt to use the system.",https://drive.google.com/file/d/1TEpDX-XQzMa53QQGpI08p3xUw89fMMkW/view?usp=sharing,,
GLOGIQ96,TRANSPORTING_THE_SYSTEM,"Transpoting,Positioning",Transport,LOGIQ9,Precautions taken before Transporting or Moving the System?,"1. Press the Power On/Off switch to power off. See ‘Power 
Off’ for more information.
2. Unplug the power cord.
3. All cables from off-board peripheral devices (IIE camera, 
external printer, VCR, etc.) must be disconnected from the 
console.
4. Disconnect the footswitch from the console.
5. Ensure that no loose items are left on the console.
6. Wind the power cable around the cable hook below the rear 
handle or wrap the cord in a bundle and store it behind the 
rear storage panel. 
7. Connect all probes to be used while off site. Ensure that 
probe cables are out of the way from the wheels and not 
protruding beyond the console.
NOTE: If more than four (4) probes are intended to be used, store 
the additional probes securely.
8. Store all other probes in their original cases or in soft cloth 
or foam to prevent damage.
9. Store sufficient gel and other essential accessories in the 
provided space.
10. Adjust the monitor and control panel to its lowest position 
possible by using the release lever located underneath the 
control panel. Make sure the keyboard is locked in place.
11. Unlock the wheels",,,
GLOGIQ97,PROBE_CONNECTION,"Probe,Connection",Interface,LOGIQ9,How to Connect the Probe safely?,"1. Place the probe's carrying case on a stable surface and 
open the case.
2. Carefully remove the probe and unwrap the probe cord.
3. DO NOT allow the probe head to hang free. Impact to the 
probe head could result in irreparable damage. Use the 
integrated cable management hook to wrap the cord.
4. Turn the connector locking handle counterclockwise.
5. Align the connector with the probe port and carefully push 
into place.
6. Turn the connector locking handle clockwise to secure the 
probe connector.
7. Carefully position the probe cord so it is free to move and is 
not resting on the floor.",,,
GLOGIQ98,PROBE_CABLE,"Probe,Cable",Interface,LOGIQ9,How to handle the Probe cable?,"• Keep free from wheels
• Do not bend the cable acutely
• Avoid crossing cables between probes.",,,
GLOGIQ99,PROBE_ACTIVATION,"Probe,Activation,Deactivation",interface,LOGIQ9,How to manage probe?,"       To activate the probe, select the appropriate probe from the 
probe indicators on the Touch Panel.
1. Probe Indicators
The probe's default settings for the mode and selected exam are 
used automatically.
Deactivating the Probe
When deactivating the probe, the probe is automatically placed 
in standby mode.
Disconnecting the Probe
Probes can be disconnected at any time. However, the probe 
should not be active when disconnecting the probe.
• Ensure the probe is deactivated. Deactivate by selecting 
another probe or pressing Freeze.
• Move the probe locking handle counterclockwise.
• Pull the probe and connector straight out of the probe port.
• Carefully slide the probe and connector away from the 
probe port and around the right side of the keyboard.
• Ensure the cable is free.
• Be sure that the probe head is clean before placing the 
probe in its storage box or a wall hanging unit.
Freeze Deactivate the probe: 1. Press the Freeze key.
2. Gently wipe the excess gel from the face of the probe.
3. Carefully slide the probe around the right side of the 
keyboard, toward the probe holder. Ensure that the probe 
is placed gently in the probe holder.                                                                                                                                                                                                           ",https://drive.google.com/file/d/13mNkOWXPbrziZLT503m6JvHHFkgsVUlV/view?usp=sharing,,
GLOGIQ910,CONTROL_PANEL_MAP,Control Panel,Control,LOGIQ9,How to use Control panel?,"1. Touch panel and controls
2. Touch Panel Brightness Control
3. Video
4. Audio On/Off and Volume
5. TGC
6. Reverse
7. Additional Feature Keys
8. Keyboard
9. Mode/Gain Keys
10. Imaging/Measurement Keys
11. Depth
12. Imaging Feature Keys
13. Freeze and Print Keys
14. Probe and Cord Holder
15. Gel Holder",https://drive.google.com/file/d/1bvGNuuxhL67AmDIOXN4xzVCrpaAQ0zBa/view?usp=sharing,,
GLOGIQ911,EXAM_FUNCTION_CONTROLS,"Function,controls",Control,LOGIQ9,How to manage exam function?,"1. Patient: Enters Patient screen
2. Scan: Enters scanning mode screen
3. Reports: Activates default report and Touch Panel of report choices.
4. End Exam: Activates Image Management and Touch Panel with end of exam 
options.
5. Utility: Activates system configuration menus.
6. Preset: Selects the application to use.
7. Probe Indicator: Indicates and selects the probes.",https://drive.google.com/file/d/1TSp6aIohRjjK9JT_q_qM8muQN0oqrg5E/view?usp=sharing,,
GLOGIQ912,PATIENT_SEARCH,patient care,Exam,LOGIQ9,How to search for an exsiting Patient?,"1. Press Patient to display the Patient Screen. The Patient 
Search Screen is displayed.
 2. Select the search key and Location (From). Enter the search 
string.
3. An appropriate patient is displayed in the patient list.
4. Select the patient and press Review.
or
Click ‘+’ mark on the left side of Patient ID, then all exams of 
the patient is displayed in the patient list. Select the required 
exam and press Active Images. The image list of the exam 
is displayed.
5. The selected patient exam screen is displayed.",https://drive.google.com/file/d/1LGoVwktPdyhJtcCTwl8DqOTIJLyNcFAo/view?usp=sharing,,
GLOGIQ913,IMAGE_REVIEWING,Image,Interface,LOGIQ9,How to review the Image?,"1. Select the exam which includes the image to review.
2. Press Active Images.
3. Select the image and press Review.
4. The image is displayed.",https://drive.google.com/file/d/1LGoVwktPdyhJtcCTwl8DqOTIJLyNcFAo/view?usp=sharing,,
GLOGIQ914,INSPECTING_THE_SYSTEM,"System Care,Maintenance",Maintenance,LOGIQ9,How to Examine the System?,"• Connectors on cables for any mechanical defects.
• Entire length of electrical and power cables for cuts or 
abrasions.
• Equipment for loose or missing hardware.
• Control panel and keyboard for defects.
• Casters for proper locking operation. 
 To avoid electrical shock hazard, do not remove panels or 
covers from console. This servicing must be performed by 
qualified service personnel. Failure to do so could cause 
serious injury.",,,
GLOGIQ915,CLEANING_AIR_FILTER,"Air filter,Filter",Maintenance,LOGIQ9,How to Clean the Air Filter?,"Cleaning To clean the filter:
1. Be sure to shake the filter in an area away from the system.
2. Wash the filter in a mild soapy solution, rinse and air dry or 
dry with a cloth.
NOTE: Allow wet filter to dry thoroughly before installing.
Installing 1. Slide the filter back into the system.
               2. Secure the filter with the Velcro tab.",,,
GLOGIQ916,SCANNING_A_PATIENT,"Patient,Scanning",Exam,LOGIQ9,How to Scan a New patient?,"1. Press Patient. 
2. Press New Patient on the Patient menu. 
3. A pop-up menu appears. Specify whether you want to store 
images permanently, delete images, or go to active images. 
4. Choose the exam category. 
5. Verify the dataflow. 
6. Fill in patient information. 
7. Press Register. Enter Past OB Exam information, if 
desired. 
8. Select the probe from the Touch Panel to start scanning (or 
select Exit, Escape, Scan, or Freeze).
9. Perform the exam. 
10. When you have completed the study, press End Exam, End 
Current Patient, then Store All Images Permanently.",https://drive.google.com/file/d/1_9PiSQH2HuSY-ll3v8_r9YAD1sClk2rJ/view?usp=sharing,,
GLOGIQ917,PATIENT_LIST,"Patient,List",Exam,LOGIQ9,How to enter a Patient List?,"1. Press Patient to display Patient Screen.
2. Press New Patient to erase the current patient data.
3. Enter the Patient ID.
4. Enter the patient and exam information.
5. Press Register.
6. Repeat above steps as required. 
Select the patient from the Patient List and press New Exam to 
start an exam.",,,
GLOGIQ918,ERASE_EXISTING_PATIENT,"Patient,Delete",Exam,LOGIQ9,How to delete the Existing Patient?,"1. Search and select the patient in the patient list.
2. Press Delete.
3. The confirmation dialog box is displayed.
4. Press OK to delete or Cancel.",,,
